text,intent,emotion,text_length
at night nobody talks to me right now,loneliness,lonely,37
at home i am proud of myself today,positive,happy,34
sometimes hi right now,greeting,happy,22
recently i want to build better habits and it is affecting me,motivation,neutral,61
honestly my heart feels heavy today,sadness,hopeless,35
sometimes nothing feels good today and i feel stuck,sadness,hopeless,51
in class i feel exhausted every morning lately,sleep,anxious,46
honestly my sleep is disturbed today,sleep,anxious,36
sometimes good morning but i do not know what to do,greeting,neutral,51
recently i need better sleep today,sleep,anxious,34
recently someone close disappointed me and i need help,relationship,confused,54
recently i feel hurt by someone i love today,relationship,sad,44
honestly exam pressure is overwhelming and i need help,academic_pressure,stressed,54
i want to feel better please help me,motivation,tired,36
at night everyone seems busy without me because it keeps happening,loneliness,lonely,66
at home how can i start again these days,motivation,tired,40
at home my thoughts are moving too fast these days,anxiety,nervous,50
honestly i feel lazy but want to change please help me,motivation,hopeful,54
honestly i have no one to share this with these days,loneliness,sad,52
sometimes i feel hurt by someone i love and i want to feel better,relationship,upset,65
in class i feel exhausted every morning and i feel stuck,sleep,stressed,56
at night i am worried about my grades these days,academic_pressure,overwhelmed,48
at home i finally made progress today,positive,happy,37
my heart is racing and i need help,anxiety,worried,34
recently i cannot believe in myself and i feel stuck,self_esteem,insecure,52
at home i miss having someone close but i do not know what to do,loneliness,sad,64
in class hey there and it is affecting me,greeting,content,41
at night i feel pressure from every side right now,stress,overwhelmed,50
honestly i wake up tired but i do not know what to do,sleep,tired,53
i wake up tired and i need help,sleep,anxious,31
at home i feel burned out right now,stress,tired,35
honestly i cannot stop overthinking,anxiety,overwhelmed,35
at home i feel hopeful these days,positive,determined,33
sometimes good evening please help me,greeting,neutral,37
at home i need someone to talk to but i do not know what to do,greeting,neutral,62
at home i feel hurt by someone i love because it keeps happening,relationship,worried,64
i feel more confident because it keeps happening,positive,determined,48
i am scared i will disappoint everyone and it is affecting me,self_esteem,confused,61
sometimes thank you for listening but i do not know what to do,gratitude,grateful,62
honestly i feel isolated but i do not know what to do,loneliness,down,53
at night hello i want to chat but i do not know what to do,greeting,neutral,58
good evening please help me,greeting,happy,27
in class someone close disappointed me right now,relationship,upset,48
in class work is overwhelming and i feel stuck,stress,stressed,46
at night i keep comparing myself to others because it keeps happening,self_esteem,insecure,69
in class thanks that helped me and it is affecting me,gratitude,content,53
recently i cannot control my anger,anger,upset,34
at night thanks that helped me but i do not know what to do,gratitude,happy,59
sometimes i procrastinated and exams are near lately,academic_pressure,overwhelmed,52
recently i have no one to share this with but i do not know what to do,loneliness,lonely,70
at home i feel stressed right now,stress,frustrated,33
at home i feel isolated lately,loneliness,down,30
my thoughts are moving too fast these days,anxiety,worried,42
at night everyone seems busy without me and i need help,loneliness,sad,55
i need company lately,loneliness,sad,21
i am getting mad and i want to feel better,anger,angry,42
recently i am grateful for small things today these days,gratitude,content,56
i need someone to talk to and i want to feel better,greeting,content,51
at home i feel like shouting and it is affecting me,anger,frustrated,51
at home i want to cry right now,sadness,sad,31
at home i feel alone even around people right now,loneliness,lonely,49
sometimes i need a break please help me,stress,frustrated,39
recently i am proud of myself today,positive,hopeful,35
at home my assignments are too much and i feel stuck,academic_pressure,anxious,52
recently i had a good day and it is affecting me,positive,hopeful,48
honestly i am afraid of failing lately,academic_pressure,anxious,38
honestly i keep overthinking at night,sleep,anxious,37
honestly i want to cry please help me,sadness,hopeless,37
at home i need help planning my studies,academic_pressure,worried,39
honestly i am scared about the future today,anxiety,nervous,43
in class i have no one to share this with and i need help,loneliness,sad,57
sometimes i am tired of dealing with problems and it is affecting me,stress,frustrated,68
at night i keep overthinking at night and i want to feel better,sleep,stressed,63
at night i feel alone even around people lately,loneliness,sad,47
in class i feel down for no reason,sadness,sad,34
at night i need better sleep,sleep,stressed,28
at night i want to build better habits right now,motivation,neutral,48
at home i feel isolated and i feel stuck,loneliness,sad,40
recently i had a good day and i feel stuck,positive,content,42
recently exam pressure is overwhelming and i want to feel better,academic_pressure,anxious,64
at night i feel anxious but i do not know what to do,anxiety,anxious,52
recently i do not feel confident but i do not know what to do,self_esteem,sad,61
at home work is overwhelming and i want to feel better,stress,stressed,54
recently everyone seems busy without me,loneliness,lonely,39
i feel empty inside and i need help,sadness,down,35
at home thanks for being here and i feel stuck,gratitude,happy,46
at home i feel aggressive right now and i need help,anger,angry,51
recently hey there,greeting,content,18
sometimes i have no one to share this with and i need help,loneliness,down,58
at home i miss having someone close today,loneliness,lonely,41
in class i feel pressure from every side,stress,overwhelmed,40
at night i appreciate your help and i feel stuck,gratitude,happy,48
at night i miss my friend and i want to feel better,relationship,worried,51
in class my relationship is stressful but i do not know what to do,relationship,worried,66
how can i pass my exams and it is affecting me,academic_pressure,worried,46
at home i am confused about my relationship because it keeps happening,relationship,worried,70
at home i want to cry and i feel stuck,sadness,upset,38
sometimes i am getting mad please help me,anger,upset,41
at home i am angry upon you these days,anger,frustrated,38
at night i procrastinated and exams are near today,academic_pressure,stressed,50
i feel sad today lately,sadness,down,23
at night i feel depressed today and i need help,sadness,sad,47
sometimes my thoughts are moving too fast and i need help,anxiety,anxious,57
honestly i feel peaceful right now and i need help,positive,determined,50
in class i feel empty inside these days,sadness,upset,39
in class my thoughts are moving too fast but i do not know what to do,anxiety,anxious,69
i feel panic building up,anxiety,worried,24
i feel lonely but i do not know what to do,loneliness,down,42
honestly i am confused about my relationship lately,relationship,upset,51
at night i feel lazy but want to change but i do not know what to do,motivation,hopeful,68
recently i am scared i will disappoint everyone right now,self_esteem,hopeless,57
recently i feel rejected right now,relationship,sad,34
honestly my heart feels heavy,sadness,upset,29
recently i need help planning my studies and i need help,academic_pressure,stressed,56
recently i feel burned out right now,stress,tired,36
sometimes i am worried something bad will happen and i want to feel better,anxiety,worried,74
recently i feel lonely please help me,loneliness,down,37
in class i keep comparing myself to others and i want to feel better,self_esteem,confused,68
in class i need a break lately,stress,frustrated,30
in class i wake up tired and it is affecting me,sleep,stressed,47
recently i need better sleep,sleep,stressed,28
i feel stressed today,stress,frustrated,21
recently i hate how i look these days,self_esteem,insecure,37
honestly i feel isolated,loneliness,down,24
sometimes i have too much study pressure these days,academic_pressure,stressed,51
at night i am afraid of failing and i want to feel better,academic_pressure,stressed,57
sometimes i am worried about my grades please help me,academic_pressure,anxious,53
i feel peaceful right now but i do not know what to do,positive,content,54
in class i feel worthless sometimes and it is affecting me,self_esteem,hopeless,58
at home i feel lonely but i do not know what to do,loneliness,sad,50
sometimes i miss my friend and i need help,relationship,worried,42
my thoughts are moving too fast but i do not know what to do,anxiety,nervous,60
recently i am confused about my relationship,relationship,worried,44
at night good morning lately,greeting,neutral,28
in class i am worried about my grades and it is affecting me,academic_pressure,overwhelmed,60
in class i need a small step to begin today,motivation,tired,43
honestly i feel empty inside right now,sadness,upset,38
sometimes i am worried something bad will happen because it keeps happening,anxiety,anxious,75
at night i am excited about tomorrow and it is affecting me,positive,happy,59
i am scared about the future today,anxiety,anxious,34
sometimes i feel grateful today these days,gratitude,content,42
honestly i need a break today,stress,stressed,29
in class i have too much study pressure and i need help,academic_pressure,stressed,55
in class i am angry right now,anger,angry,29
at home i need help planning my studies and i feel stuck,academic_pressure,overwhelmed,56
recently i cannot sleep because it keeps happening,sleep,tired,50
at night i am sad and tired but i do not know what to do,sadness,hopeless,56
sometimes i need better sleep and it is affecting me,sleep,anxious,52
sometimes i feel forgotten and i want to feel better,loneliness,sad,52
recently how can i start again lately,motivation,hopeful,37
sometimes i wake up tired but i do not know what to do,sleep,anxious,54
honestly i miss having someone close,loneliness,down,36
at night i am angry upon you and i feel stuck,anger,frustrated,45
at night i need motivation today,motivation,determined,32
honestly i cannot stop overthinking lately,anxiety,worried,42
i am afraid of failing please help me,academic_pressure,anxious,37
at night i am getting mad and i feel stuck,anger,upset,42
in class i feel lucky to have support these days,gratitude,grateful,48
i want to keep going please help me,motivation,neutral,35
i am worried something bad will happen and i feel stuck,anxiety,anxious,55
honestly i feel hopeless right now and i need help,sadness,sad,50
recently they do not understand me and it is affecting me,relationship,upset,57
at night i am happy today and i need help,positive,determined,41
at night i have trouble falling asleep but i do not know what to do,sleep,anxious,67
in class i miss my friend and i want to feel better,relationship,worried,51
sometimes i sleep too late and it is affecting me,sleep,tired,49
honestly thank you i feel supported and i feel stuck,gratitude,grateful,52
i keep comparing myself to others,self_esteem,sad,33
at home i hate how i look please help me,self_esteem,sad,40
in class i feel peaceful right now lately,positive,happy,41
at night i want to keep going please help me,motivation,neutral,44
honestly i am scared about the future because it keeps happening,anxiety,nervous,64
at night my heart feels heavy and i need help,sadness,hopeless,45
in class i am afraid of failing,academic_pressure,stressed,31
honestly i need a break and it is affecting me,stress,frustrated,46
at night i feel worthless sometimes and it is affecting me,self_esteem,confused,58
honestly i appreciate my family right now,gratitude,content,41
at night i cannot control my anger and i need help,anger,angry,50
recently i cannot handle all this pressure but i do not know what to do,stress,overwhelmed,71
at home i feel pressure from every side and i need help,stress,stressed,55
recently i miss having someone close lately,loneliness,down,43
at night i wake up tired because it keeps happening,sleep,stressed,51
in class i am scared about the future and i need help,anxiety,overwhelmed,53
recently i need company and i want to feel better,loneliness,sad,49
hey there,greeting,content,9
sometimes i feel empty inside please help me,sadness,upset,44
sometimes i feel frustrated with everyone today,anger,angry,47
sometimes i miss my friend lately,relationship,upset,33
at home i need encouragement and i need help,motivation,neutral,44
in class i cannot stop crying and it is affecting me,sadness,depressed,52
at home how can i pass my exams and it is affecting me,academic_pressure,anxious,54
at night i had a good day and i want to feel better,positive,content,51
at home i cannot stop overthinking and i feel stuck,anxiety,worried,51
recently i feel burned out lately,stress,stressed,33
i need a break and i feel stuck,stress,overwhelmed,31
recently i feel more confident and i feel stuck,positive,determined,47
at home i am worried about my grades right now,academic_pressure,worried,46
in class i feel like a failure please help me,self_esteem,hopeless,45
honestly i want to keep going right now,motivation,determined,39
in class i need motivation today,motivation,determined,32
honestly i feel rejected because it keeps happening,relationship,upset,51
in class i feel lucky to have support but i do not know what to do,gratitude,happy,66
recently i feel worthless sometimes please help me,self_esteem,hopeless,50
honestly i feel isolated and i feel stuck,loneliness,sad,41
honestly how can i pass my exams and i feel stuck,academic_pressure,anxious,49
sometimes i feel aggressive right now lately,anger,upset,44
in class i am stressed because of exams because it keeps happening,academic_pressure,worried,66
recently i feel like i am not good enough and i need help,self_esteem,hopeless,57
honestly i doubt myself and it is affecting me,self_esteem,sad,46
sometimes my mind stays awake these days,sleep,tired,40
i need help planning my studies and i want to feel better,academic_pressure,worried,57
recently i feel calm today please help me,positive,hopeful,41
recently i keep overthinking at night because it keeps happening,sleep,anxious,64
honestly i cannot stop crying right now,sadness,depressed,39
recently nothing feels good today and i need help,sadness,depressed,49
at night thanks that helped me because it keeps happening,gratitude,content,57
honestly i feel empty inside,sadness,upset,28
in class i want to feel better today,motivation,determined,36
sometimes i am tired of dealing with problems,stress,frustrated,45
i feel nervous today and it is affecting me,anxiety,overwhelmed,43
recently my mind stays awake right now,sleep,stressed,38
at home i feel anxious because it keeps happening,anxiety,overwhelmed,49
sometimes how can i start again right now,motivation,determined,41
in class i am proud of myself and i feel stuck,positive,content,46
in class i feel lazy but want to change please help me,motivation,tired,54
at home i have no one to share this with and it is affecting me,loneliness,sad,63
at home i feel forgotten today,loneliness,down,30
sometimes nothing feels good today because it keeps happening,sadness,sad,61
sometimes i am stressed because of exams lately,academic_pressure,overwhelmed,47
at home my friend ignored me lately,relationship,upset,35
at night i am happy today and it is affecting me,positive,hopeful,48
at night i am tired of dealing with problems and i feel stuck,stress,stressed,61
i feel forgotten but i do not know what to do,loneliness,lonely,45
sometimes i am worried about my grades lately,academic_pressure,worried,45
honestly i need a small step to begin and it is affecting me,motivation,tired,60
at home exam pressure is overwhelming and it is affecting me,academic_pressure,anxious,60
in class i have no one to share this with please help me,loneliness,down,56
in class everything feels like too much please help me,stress,overwhelmed,54
sometimes i doubt myself these days,self_esteem,sad,35
how can i pass my exams lately,academic_pressure,worried,30
recently i feel like a failure today,self_esteem,insecure,36
at night i feel isolated and i want to feel better,loneliness,down,50
recently my friend ignored me please help me,relationship,upset,44
at night i want to build better habits and i feel stuck,motivation,hopeful,55
sometimes i feel anxious,anxiety,anxious,24
at home someone close disappointed me these days,relationship,sad,48
honestly i feel empty inside right now,sadness,depressed,38
in class i keep imagining the worst because it keeps happening,anxiety,nervous,62
in class i am worried about my grades and i need help,academic_pressure,anxious,53
recently thank you i feel supported,gratitude,content,35
at home i need better sleep because it keeps happening,sleep,stressed,54
at home i am tired of dealing with problems and i want to feel better,stress,stressed,69
honestly i feel anxious and it is affecting me,anxiety,anxious,46
at night i need help planning my studies and i want to feel better,academic_pressure,overwhelmed,66
in class i want to build better habits,motivation,determined,38
in class i doubt myself lately,self_esteem,confused,30
at home i keep overthinking at night right now,sleep,stressed,46
in class i had a fight with someone close and i need help,relationship,upset,57
in class hi lately,greeting,content,18
in class i am angry upon you and i want to feel better,anger,upset,54
recently i cannot control my anger because it keeps happening,anger,frustrated,61
i cannot stop crying please help me,sadness,depressed,35
honestly can we talk right now,greeting,happy,30
at home i feel exhausted every morning please help me,sleep,tired,53
recently i want to cry and i want to feel better,sadness,hopeless,48
sometimes i feel frustrated with everyone,anger,angry,41
at home good morning and i need help,greeting,neutral,36
at home i sleep too late and i want to feel better,sleep,tired,50
recently nobody talks to me and i want to feel better,loneliness,lonely,53
sometimes nobody talks to me,loneliness,sad,28
i feel like i am not good enough and it is affecting me,self_esteem,hopeless,55
in class i feel worthless sometimes and i need help,self_esteem,hopeless,51
i cannot focus on studying,academic_pressure,stressed,26
honestly i am worried something bad will happen but i do not know what to do,anxiety,overwhelmed,76
at night i cannot believe in myself and i need help,self_esteem,insecure,51
in class i feel exhausted every morning but i do not know what to do,sleep,tired,68
in class i need a break and i want to feel better,stress,stressed,49
sometimes hi and i need help,greeting,content,28
in class i miss my friend and it is affecting me,relationship,upset,48
at night i feel isolated and i feel stuck,loneliness,sad,41
honestly i feel frustrated with everyone because it keeps happening,anger,frustrated,67
at night i need someone to talk to please help me,greeting,neutral,49
at night i am worried about my grades these days,academic_pressure,worried,48
in class i feel frustrated with everyone and i need help,anger,frustrated,56
sometimes i feel restless and tense and i need help,anxiety,worried,51
i had a good day lately,positive,hopeful,23
honestly i cannot believe in myself and i want to feel better,self_esteem,insecure,61
recently i keep comparing myself to others because it keeps happening,self_esteem,insecure,69
at night hey can you listen to me today,greeting,content,39
in class i am scared i will disappoint everyone and i want to feel better,self_esteem,confused,73
recently i keep imagining the worst because it keeps happening,anxiety,anxious,62
recently i cannot focus on studying right now,academic_pressure,overwhelmed,45
i keep overthinking at night and i feel stuck,sleep,tired,45
at home i feel sad today and i need help,sadness,sad,40
in class my mind is overloaded and it is affecting me,stress,overwhelmed,53
at home i cannot sleep and it is affecting me,sleep,tired,45
i miss my friend because it keeps happening,relationship,sad,43
recently i feel aggressive right now because it keeps happening,anger,frustrated,63
honestly i feel panic building up and i feel stuck,anxiety,anxious,50
i am angry at my friend please help me,anger,upset,38
recently how can i start again,motivation,tired,30
work is overwhelming right now,stress,frustrated,30
sometimes i had a good day please help me,positive,content,41
at night help me stay consistent these days,motivation,hopeful,43
in class my heart feels heavy because it keeps happening,sadness,sad,56
my mind is overloaded and i need help,stress,stressed,37
at night i feel lucky to have support and it is affecting me,gratitude,content,60
at night i feel exhausted every morning right now,sleep,stressed,49
at home my thoughts are moving too fast and it is affecting me,anxiety,anxious,62
in class i feel peaceful right now and i feel stuck,positive,content,51
i feel useless and i feel stuck,self_esteem,hopeless,31
sometimes they do not understand me and i feel stuck,relationship,confused,52
in class hi and i want to feel better,greeting,content,37
at night i feel anxious and i feel stuck,anxiety,nervous,40
in class i feel burned out these days,stress,frustrated,37
in class how can i start again lately,motivation,hopeful,37
at night my thoughts are moving too fast but i do not know what to do,anxiety,anxious,69
recently i need better sleep please help me,sleep,tired,43
honestly i am angry these days,anger,frustrated,30
sometimes i am scared i will disappoint everyone and it is affecting me,self_esteem,sad,71
at home thanks for being here and i feel stuck,gratitude,content,46
in class nobody talks to me and i want to feel better,loneliness,lonely,53
at night i have trouble falling asleep and it is affecting me,sleep,anxious,61
sometimes i am scared about the future and i want to feel better,anxiety,anxious,64
sometimes i feel anxious today,anxiety,worried,30
honestly i need better sleep and i want to feel better,sleep,stressed,54
at night my sleep is disturbed and i need help,sleep,anxious,46
sometimes someone made me furious these days,anger,frustrated,44
honestly i had a fight with someone close lately,relationship,worried,48
recently i want to keep going right now,motivation,determined,39
my relationship is stressful right now,relationship,sad,38
i feel sad today right now,sadness,down,26
at home my sleep is disturbed today,sleep,anxious,35
honestly my sleep is disturbed right now,sleep,stressed,40
i hate how i look right now,self_esteem,insecure,27
recently i cannot believe in myself right now,self_esteem,confused,45
in class i cannot relax at bedtime lately,sleep,anxious,41
honestly my heart is racing because it keeps happening,anxiety,worried,54
in class good morning today,greeting,content,27
at night i feel more confident because it keeps happening,positive,determined,57
at night nobody talks to me please help me,loneliness,sad,42
honestly i need help planning my studies today,academic_pressure,stressed,46
in class good evening and i want to feel better,greeting,neutral,47
recently i keep overthinking at night but i do not know what to do,sleep,stressed,66
i cannot control my anger but i do not know what to do,anger,frustrated,54
in class thanks for being here because it keeps happening,gratitude,happy,57
recently my thoughts are moving too fast today,anxiety,worried,46
in class i cannot stop crying today,sadness,sad,35
at night i need company,loneliness,down,23
honestly i feel anxious these days,anxiety,worried,34
at home i feel hopeful and i want to feel better,positive,hopeful,48
i need encouragement today,motivation,hopeful,26
at home i am scared about the future these days,anxiety,anxious,47
i keep overthinking at night because it keeps happening,sleep,tired,55
at home i feel grateful today lately,gratitude,content,36
in class good morning lately,greeting,content,28
at night everyone seems busy without me,loneliness,sad,39
in class nobody talks to me because it keeps happening,loneliness,sad,54
sometimes i feel peaceful right now right now,positive,content,45
i have too many responsibilities today,stress,tired,38
at home i feel peaceful right now and i need help,positive,content,49
sometimes i am happy today lately,positive,determined,33
i feel down for no reason and i feel stuck,sadness,depressed,42
my thoughts are moving too fast,anxiety,worried,31
recently i cannot focus on studying and i need help,academic_pressure,stressed,51
sometimes i feel hopeless right now and i want to feel better,sadness,depressed,61
in class hello and i want to feel better,greeting,content,40
sometimes i wake up tired today,sleep,stressed,31
at night i feel anxious right now,anxiety,overwhelmed,33
in class i feel like i am not good enough,self_esteem,sad,41
sometimes nobody talks to me today,loneliness,sad,34
honestly my assignments are too much because it keeps happening,academic_pressure,anxious,63
recently i am excited about tomorrow right now,positive,hopeful,46
recently i need company and it is affecting me,loneliness,lonely,46
in class i need encouragement because it keeps happening,motivation,neutral,56
honestly i feel lazy but want to change because it keeps happening,motivation,neutral,66
recently i feel forgotten and it is affecting me,loneliness,lonely,48
recently i need someone to talk to because it keeps happening,greeting,neutral,61
at night exam pressure is overwhelming,academic_pressure,overwhelmed,38
i am getting mad and it is affecting me,anger,upset,39
honestly i hate how i look and i need help,self_esteem,confused,42
honestly hey can you listen to me these days,greeting,neutral,44
sometimes i am angry upon you lately,anger,frustrated,36
sometimes i feel stressed lately,stress,overwhelmed,32
honestly hi,greeting,content,11
at home i procrastinated and exams are near and i feel stuck,academic_pressure,worried,60
honestly can we talk because it keeps happening,greeting,neutral,47
i feel rejected,relationship,upset,15
sometimes i want to keep going please help me,motivation,neutral,45
at home i am happy today right now,positive,happy,34
at night i feel calm today and i want to feel better,positive,hopeful,52
honestly i procrastinated and exams are near and it is affecting me,academic_pressure,anxious,67
sometimes hi and i want to feel better,greeting,content,38
recently i am thankful for my friends right now,gratitude,happy,47
i cannot relax at bedtime and it is affecting me,sleep,anxious,48
sometimes i cannot handle all this pressure and i need help,stress,stressed,59
in class i have no one to share this with these days,loneliness,down,52
at night i hate how i look lately,self_esteem,sad,33
in class i procrastinated and exams are near and i want to feel better,academic_pressure,overwhelmed,70
sometimes i keep overthinking at night but i do not know what to do,sleep,anxious,67
at home i need a small step to begin and i want to feel better,motivation,tired,62
at night i am happy today lately,positive,happy,32
i want to cry lately,sadness,depressed,20
at home they do not understand me and i need help,relationship,sad,49
at home good morning and i want to feel better,greeting,content,46
sometimes i feel hurt by someone i love and it is affecting me,relationship,worried,62
sometimes i feel burned out,stress,stressed,27
sometimes i cannot relax at bedtime and it is affecting me,sleep,stressed,58
hello right now,greeting,neutral,15
at night i feel peaceful right now and i feel stuck,positive,happy,51
recently i cannot believe in myself because it keeps happening,self_esteem,confused,62
in class i cannot stop crying right now,sadness,down,39
sometimes nobody talks to me and i need help,loneliness,down,44
in class i hate how i look and i feel stuck,self_esteem,insecure,43
at night i cannot believe in myself right now,self_esteem,hopeless,45
in class i feel like i am not good enough right now,self_esteem,confused,51
at night i feel like a failure,self_esteem,hopeless,30
honestly everything feels like too much but i do not know what to do,stress,overwhelmed,68
i cannot handle all this pressure and i want to feel better,stress,stressed,59
sometimes i feel like shouting these days,anger,frustrated,41
honestly i feel useless these days,self_esteem,sad,34
sometimes i feel lucky to have support today,gratitude,content,44
i need a break please help me,stress,stressed,29
recently my sleep is disturbed and it is affecting me,sleep,anxious,53
at night i am stressed because of exams today,academic_pressure,overwhelmed,45
at night i feel sad today because it keeps happening,sadness,down,52
at home i had a good day because it keeps happening,positive,content,51
honestly work is overwhelming these days,stress,overwhelmed,40
in class i feel hopeless right now please help me,sadness,sad,49
sometimes i keep comparing myself to others and it is affecting me,self_esteem,hopeless,66
sometimes i appreciate my family and it is affecting me,gratitude,grateful,55
in class i had a fight with someone close today,relationship,sad,47
i need encouragement today,motivation,neutral,26
recently i am getting mad right now,anger,angry,35
recently i am getting mad and i want to feel better,anger,upset,51
i need a small step to begin and i feel stuck,motivation,hopeful,45
i need help planning my studies and i feel stuck,academic_pressure,worried,48
in class my sleep is disturbed lately,sleep,tired,37
i need motivation right now,motivation,neutral,27
sometimes i feel peaceful right now and it is affecting me,positive,happy,58
hi please help me,greeting,content,17
sometimes exam pressure is overwhelming please help me,academic_pressure,overwhelmed,54
sometimes i miss my friend and it is affecting me,relationship,upset,49
sometimes are you there today,greeting,neutral,29
sometimes i feel anxious and i feel stuck,anxiety,anxious,41
at home thanks that helped me but i do not know what to do,gratitude,content,58
at night i am worried about my grades but i do not know what to do,academic_pressure,stressed,66
at night i feel depressed today and i want to feel better,sadness,upset,57
in class i need a small step to begin and i feel stuck,motivation,hopeful,54
sometimes thanks that helped me and i want to feel better,gratitude,grateful,57
honestly i feel sad today lately,sadness,down,32
at night i feel like a failure because it keeps happening,self_esteem,sad,57
i am sad and tired and i feel stuck,sadness,down,35
recently i am worried about my grades and i feel stuck,academic_pressure,overwhelmed,54
recently i feel hopeless right now these days,sadness,down,45
i do not know how to fix this relationship and i feel stuck,relationship,confused,59
recently i want to feel better and it is affecting me,motivation,determined,53
in class i want to build better habits,motivation,hopeful,38
recently i cannot focus on studying and i want to feel better,academic_pressure,anxious,61
honestly i had a good day today,positive,content,31
at night my thoughts are moving too fast and i feel stuck,anxiety,nervous,57
recently my relationship is stressful these days,relationship,sad,48
honestly i am excited about tomorrow but i do not know what to do,positive,hopeful,65
sometimes i want to build better habits and i want to feel better,motivation,hopeful,65
at home nothing feels good today and it is affecting me,sadness,depressed,55
sometimes how can i pass my exams today,academic_pressure,worried,39
recently i keep overthinking at night please help me,sleep,tired,52
in class i keep overthinking at night and i feel stuck,sleep,tired,54
i need encouragement,motivation,determined,20
i cannot relax at bedtime because it keeps happening,sleep,anxious,52
sometimes i need better sleep because it keeps happening,sleep,stressed,56
at home i hate how i look right now,self_esteem,sad,35
in class i am angry upon you lately,anger,frustrated,35
in class i am happy today and it is affecting me,positive,hopeful,48
sometimes i feel left out and i need help,loneliness,sad,41
sometimes i feel pressure from every side,stress,stressed,41
sometimes i am angry but i do not know what to do,anger,angry,49
sometimes they do not understand me and i want to feel better,relationship,confused,61
i feel better now but i do not know what to do,positive,happy,46
at night i feel depressed today right now,sadness,depressed,41
at night my mind stays awake,sleep,anxious,28
sometimes i keep overthinking at night today,sleep,stressed,44
in class my mind stays awake right now,sleep,anxious,38
sometimes nothing feels good today these days,sadness,sad,45
recently i want to build better habits because it keeps happening,motivation,determined,65
at home i am scared about the future and i want to feel better,anxiety,worried,62
at home i feel alone even around people and i feel stuck,loneliness,down,56
at night everyone seems busy without me,loneliness,down,39
at night i am scared about the future,anxiety,anxious,37
at home hello and i want to feel better,greeting,neutral,39
honestly i want to hit something these days,anger,angry,43
recently i feel lucky to have support right now,gratitude,content,47
honestly i feel lazy but want to change lately,motivation,hopeful,46
at home i am grateful for small things today,gratitude,grateful,44
honestly i feel frustrated with everyone and i feel stuck,anger,frustrated,57
recently i cannot stop crying and it is affecting me,sadness,sad,52
at night i cannot sleep,sleep,tired,23
hi lately,greeting,content,9
in class i sleep too late but i do not know what to do,sleep,anxious,54
sometimes i cannot stop overthinking because it keeps happening,anxiety,worried,63
honestly i am angry upon you because it keeps happening,anger,frustrated,55
