text,intent,emotion,text_length,processed_text,processed_length
everyone seems busy without me but i do not know what to do,loneliness,down,59,everyone seems busy without know,32
in class hello and i want to feel better,greeting,happy,40,class hello want feel better,28
at night i feel forgotten right now,loneliness,lonely,35,night feel forgotten right,26
recently i sleep too late,sleep,tired,25,recently sleep late,19
recently hey there lately,greeting,content,25,recently hey lately,19
at night i am proud of myself and i feel stuck,positive,content,46,night proud feel stuck,22
at night hello i want to chat please help me,greeting,content,44,night hello want chat please help,33
honestly i need encouragement and it is affecting me,motivation,tired,52,honestly need encouragement affecting,37
sometimes i need encouragement but i do not know what to do,motivation,determined,59,sometimes need encouragement know,33
sometimes good evening these days,greeting,happy,33,sometimes good evening day,26
i feel hurt by someone i love but i do not know what to do,relationship,sad,58,feel hurt someone love know,27
honestly i feel like a failure right now,self_esteem,confused,40,honestly feel like failure right,32
at home i feel exhausted every morning today,sleep,stressed,44,home feel exhausted every morning today,39
sometimes i feel anxious right now,anxiety,overwhelmed,34,sometimes feel anxious right,28
at home my thoughts are moving too fast and i need help,anxiety,nervous,55,home thought moving fast need help,34
at night my assignments are too much but i do not know what to do,academic_pressure,overwhelmed,65,night assignment much know,26
in class i cannot stop crying and it is affecting me,sadness,hopeless,52,class stop cry affecting,24
at night hello i want to chat and i need help,greeting,neutral,45,night hello want chat need help,31
in class i am sad and tired and i need help,sadness,sad,43,class sad tired need help,25
i feel aggressive right now because it keeps happening,anger,frustrated,54,feel aggressive right keep happening,36
nobody talks to me right now,loneliness,sad,28,nobody talk right,17
in class i feel stressed but i do not know what to do,stress,tired,53,class feel stressed know,24
sometimes i miss my friend and it is affecting me,relationship,worried,49,sometimes miss friend affecting,31
at home i have too much study pressure right now,academic_pressure,overwhelmed,48,home much study pressure right,30
i feel hopeless right now today,sadness,down,31,feel hopeless right today,25
at home i am grateful for small things today lately,gratitude,content,51,home grateful small thing today lately,38
at night my assignments are too much but i do not know what to do,academic_pressure,anxious,65,night assignment much know,26
sometimes i appreciate my family and it is affecting me,gratitude,content,55,sometimes appreciate family affecting,37
sometimes nothing feels good today lately,sadness,upset,41,sometimes nothing feel good today lately,40
in class i need encouragement and i feel stuck,motivation,tired,46,class need encouragement feel stuck,35
at night nobody talks to me right now,loneliness,lonely,37,night nobody talk right,23
at home i am proud of myself today,positive,happy,34,home proud today,16
sometimes hi right now,greeting,happy,22,sometimes hi right,18
recently i want to build better habits and it is affecting me,motivation,neutral,61,recently want build better habit affecting,42
honestly my heart feels heavy today,sadness,hopeless,35,honestly heart feel heavy today,31
sometimes nothing feels good today and i feel stuck,sadness,hopeless,51,sometimes nothing feel good today feel stuck,44
in class i feel exhausted every morning lately,sleep,anxious,46,class feel exhausted every morning lately,41
honestly my sleep is disturbed today,sleep,anxious,36,honestly sleep disturbed today,30
sometimes good morning but i do not know what to do,greeting,neutral,51,sometimes good morning know,27
recently i need better sleep today,sleep,anxious,34,recently need better sleep today,32
recently someone close disappointed me and i need help,relationship,confused,54,recently someone close disappointed need help,45
recently i feel hurt by someone i love today,relationship,sad,44,recently feel hurt someone love today,37
honestly exam pressure is overwhelming and i need help,academic_pressure,stressed,54,honestly exam pressure overwhelming need help,45
i want to feel better please help me,motivation,tired,36,want feel better please help,28
at night everyone seems busy without me because it keeps happening,loneliness,lonely,66,night everyone seems busy without keep happening,48
at home how can i start again these days,motivation,tired,40,home start day,14
at home my thoughts are moving too fast these days,anxiety,nervous,50,home thought moving fast day,28
honestly i feel lazy but want to change please help me,motivation,hopeful,54,honestly feel lazy want change please help,42
honestly i have no one to share this with these days,loneliness,sad,52,honestly one share day,22
sometimes i feel hurt by someone i love and i want to feel better,relationship,upset,65,sometimes feel hurt someone love want feel better,49
in class i feel exhausted every morning and i feel stuck,sleep,stressed,56,class feel exhausted every morning feel stuck,45
at night i am worried about my grades these days,academic_pressure,overwhelmed,48,night worried grade day,23
at home i finally made progress today,positive,happy,37,home finally made progress today,32
my heart is racing and i need help,anxiety,worried,34,heart racing need help,22
recently i cannot believe in myself and i feel stuck,self_esteem,insecure,52,recently believe feel stuck,27
at home i miss having someone close but i do not know what to do,loneliness,sad,64,home miss someone close know,28
in class hey there and it is affecting me,greeting,content,41,class hey affecting,19
at night i feel pressure from every side right now,stress,overwhelmed,50,night feel pressure every side right,36
honestly i wake up tired but i do not know what to do,sleep,tired,53,honestly wake tired know,24
i wake up tired and i need help,sleep,anxious,31,wake tired need help,20
at home i feel burned out right now,stress,tired,35,home feel burned right,22
honestly i cannot stop overthinking,anxiety,overwhelmed,35,honestly stop overthinking,26
at home i feel hopeful these days,positive,determined,33,home feel hopeful day,21
sometimes good evening please help me,greeting,neutral,37,sometimes good evening please help,34
at home i need someone to talk to but i do not know what to do,greeting,neutral,62,home need someone talk know,27
at home i feel hurt by someone i love because it keeps happening,relationship,worried,64,home feel hurt someone love keep happening,42
i feel more confident because it keeps happening,positive,determined,48,feel confident keep happening,29
i am scared i will disappoint everyone and it is affecting me,self_esteem,confused,61,scared disappoint everyone affecting,36
sometimes thank you for listening but i do not know what to do,gratitude,grateful,62,sometimes thank listening know,30
honestly i feel isolated but i do not know what to do,loneliness,down,53,honestly feel isolated know,27
at night hello i want to chat but i do not know what to do,greeting,neutral,58,night hello want chat know,26
good evening please help me,greeting,happy,27,good evening please help,24
in class someone close disappointed me right now,relationship,upset,48,class someone close disappointed right,38
in class work is overwhelming and i feel stuck,stress,stressed,46,class work overwhelming feel stuck,34
at night i keep comparing myself to others because it keeps happening,self_esteem,insecure,69,night keep comparing others keep happening,42
in class thanks that helped me and it is affecting me,gratitude,content,53,class thanks helped affecting,29
recently i cannot control my anger,anger,upset,34,recently control anger,22
at night thanks that helped me but i do not know what to do,gratitude,happy,59,night thanks helped know,24
sometimes i procrastinated and exams are near lately,academic_pressure,overwhelmed,52,sometimes procrastinated exam near lately,41
recently i have no one to share this with but i do not know what to do,loneliness,lonely,70,recently one share know,23
at home i feel stressed right now,stress,frustrated,33,home feel stressed right,24
at home i feel isolated lately,loneliness,down,30,home feel isolated lately,25
my thoughts are moving too fast these days,anxiety,worried,42,thought moving fast day,23
at night everyone seems busy without me and i need help,loneliness,sad,55,night everyone seems busy without need help,43
i need company lately,loneliness,sad,21,need company lately,19
i am getting mad and i want to feel better,anger,angry,42,getting mad want feel better,28
recently i am grateful for small things today these days,gratitude,content,56,recently grateful small thing today day,39
i need someone to talk to and i want to feel better,greeting,content,51,need someone talk want feel better,34
at home i feel like shouting and it is affecting me,anger,frustrated,51,home feel like shouting affecting,33
at home i want to cry right now,sadness,sad,31,home want cry right,19
at home i feel alone even around people right now,loneliness,lonely,49,home feel alone even around people right,40
sometimes i need a break please help me,stress,frustrated,39,sometimes need break please help,32
recently i am proud of myself today,positive,hopeful,35,recently proud today,20
at home my assignments are too much and i feel stuck,academic_pressure,anxious,52,home assignment much feel stuck,31
recently i had a good day and it is affecting me,positive,hopeful,48,recently good day affecting,27
honestly i am afraid of failing lately,academic_pressure,anxious,38,honestly afraid failing lately,30
honestly i keep overthinking at night,sleep,anxious,37,honestly keep overthinking night,32
honestly i want to cry please help me,sadness,hopeless,37,honestly want cry please help,29
at home i need help planning my studies,academic_pressure,worried,39,home need help planning study,29
honestly i am scared about the future today,anxiety,nervous,43,honestly scared future today,28
in class i have no one to share this with and i need help,loneliness,sad,57,class one share need help,25
sometimes i am tired of dealing with problems and it is affecting me,stress,frustrated,68,sometimes tired dealing problem affecting,41
at night i keep overthinking at night and i want to feel better,sleep,stressed,63,night keep overthinking night want feel better,46
at night i feel alone even around people lately,loneliness,sad,47,night feel alone even around people lately,42
in class i feel down for no reason,sadness,sad,34,class feel reason,17
at night i need better sleep,sleep,stressed,28,night need better sleep,23
at night i want to build better habits right now,motivation,neutral,48,night want build better habit right,35
at home i feel isolated and i feel stuck,loneliness,sad,40,home feel isolated feel stuck,29
recently i had a good day and i feel stuck,positive,content,42,recently good day feel stuck,28
recently exam pressure is overwhelming and i want to feel better,academic_pressure,anxious,64,recently exam pressure overwhelming want feel better,52
at night i feel anxious but i do not know what to do,anxiety,anxious,52,night feel anxious know,23
recently i do not feel confident but i do not know what to do,self_esteem,sad,61,recently feel confident know,28
at home work is overwhelming and i want to feel better,stress,stressed,54,home work overwhelming want feel better,39
recently everyone seems busy without me,loneliness,lonely,39,recently everyone seems busy without,36
i feel empty inside and i need help,sadness,down,35,feel empty inside need help,27
at home thanks for being here and i feel stuck,gratitude,happy,46,home thanks feel stuck,22
at home i feel aggressive right now and i need help,anger,angry,51,home feel aggressive right need help,36
recently hey there,greeting,content,18,recently hey,12
sometimes i have no one to share this with and i need help,loneliness,down,58,sometimes one share need help,29
at home i miss having someone close today,loneliness,lonely,41,home miss someone close today,29
in class i feel pressure from every side,stress,overwhelmed,40,class feel pressure every side,30
at night i appreciate your help and i feel stuck,gratitude,happy,48,night appreciate help feel stuck,32
at night i miss my friend and i want to feel better,relationship,worried,51,night miss friend want feel better,34
in class my relationship is stressful but i do not know what to do,relationship,worried,66,class relationship stressful know,33
how can i pass my exams and it is affecting me,academic_pressure,worried,46,pas exam affecting,18
at home i am confused about my relationship because it keeps happening,relationship,worried,70,home confused relationship keep happening,41
at home i want to cry and i feel stuck,sadness,upset,38,home want cry feel stuck,24
sometimes i am getting mad please help me,anger,upset,41,sometimes getting mad please help,33
at home i am angry upon you these days,anger,frustrated,38,home angry upon day,19
at night i procrastinated and exams are near today,academic_pressure,stressed,50,night procrastinated exam near today,36
i feel sad today lately,sadness,down,23,feel sad today lately,21
at night i feel depressed today and i need help,sadness,sad,47,night feel depressed today need help,36
sometimes my thoughts are moving too fast and i need help,anxiety,anxious,57,sometimes thought moving fast need help,39
honestly i feel peaceful right now and i need help,positive,determined,50,honestly feel peaceful right need help,38
in class i feel empty inside these days,sadness,upset,39,class feel empty inside day,27
in class my thoughts are moving too fast but i do not know what to do,anxiety,anxious,69,class thought moving fast know,30
i feel panic building up,anxiety,worried,24,feel panic building,19
i feel lonely but i do not know what to do,loneliness,down,42,feel lonely know,16
honestly i am confused about my relationship lately,relationship,upset,51,honestly confused relationship lately,37
at night i feel lazy but want to change but i do not know what to do,motivation,hopeful,68,night feel lazy want change know,32
recently i am scared i will disappoint everyone right now,self_esteem,hopeless,57,recently scared disappoint everyone right,41
recently i feel rejected right now,relationship,sad,34,recently feel rejected right,28
honestly my heart feels heavy,sadness,upset,29,honestly heart feel heavy,25
recently i need help planning my studies and i need help,academic_pressure,stressed,56,recently need help planning study need help,43
recently i feel burned out right now,stress,tired,36,recently feel burned right,26
sometimes i am worried something bad will happen and i want to feel better,anxiety,worried,74,sometimes worried something bad happen want feel better,55
recently i feel lonely please help me,loneliness,down,37,recently feel lonely please help,32
in class i keep comparing myself to others and i want to feel better,self_esteem,confused,68,class keep comparing others want feel better,44
in class i need a break lately,stress,frustrated,30,class need break lately,23
in class i wake up tired and it is affecting me,sleep,stressed,47,class wake tired affecting,26
recently i need better sleep,sleep,stressed,28,recently need better sleep,26
i feel stressed today,stress,frustrated,21,feel stressed today,19
recently i hate how i look these days,self_esteem,insecure,37,recently hate look day,22
honestly i feel isolated,loneliness,down,24,honestly feel isolated,22
sometimes i have too much study pressure these days,academic_pressure,stressed,51,sometimes much study pressure day,33
at night i am afraid of failing and i want to feel better,academic_pressure,stressed,57,night afraid failing want feel better,37
sometimes i am worried about my grades please help me,academic_pressure,anxious,53,sometimes worried grade please help,35
i feel peaceful right now but i do not know what to do,positive,content,54,feel peaceful right know,24
in class i feel worthless sometimes and it is affecting me,self_esteem,hopeless,58,class feel worthless sometimes affecting,40
at home i feel lonely but i do not know what to do,loneliness,sad,50,home feel lonely know,21
sometimes i miss my friend and i need help,relationship,worried,42,sometimes miss friend need help,31
my thoughts are moving too fast but i do not know what to do,anxiety,nervous,60,thought moving fast know,24
recently i am confused about my relationship,relationship,worried,44,recently confused relationship,30
at night good morning lately,greeting,neutral,28,night good morning lately,25
in class i am worried about my grades and it is affecting me,academic_pressure,overwhelmed,60,class worried grade affecting,29
in class i need a small step to begin today,motivation,tired,43,class need small step begin today,33
honestly i feel empty inside right now,sadness,upset,38,honestly feel empty inside right,32
sometimes i am worried something bad will happen because it keeps happening,anxiety,anxious,75,sometimes worried something bad happen keep happening,53
at night i am excited about tomorrow and it is affecting me,positive,happy,59,night excited tomorrow affecting,32
i am scared about the future today,anxiety,anxious,34,scared future today,19
sometimes i feel grateful today these days,gratitude,content,42,sometimes feel grateful today day,33
honestly i need a break today,stress,stressed,29,honestly need break today,25
in class i have too much study pressure and i need help,academic_pressure,stressed,55,class much study pressure need help,35
in class i am angry right now,anger,angry,29,class angry right,17
at home i need help planning my studies and i feel stuck,academic_pressure,overwhelmed,56,home need help planning study feel stuck,40
recently i cannot sleep because it keeps happening,sleep,tired,50,recently sleep keep happening,29
at night i am sad and tired but i do not know what to do,sadness,hopeless,56,night sad tired know,20
sometimes i need better sleep and it is affecting me,sleep,anxious,52,sometimes need better sleep affecting,37
sometimes i feel forgotten and i want to feel better,loneliness,sad,52,sometimes feel forgotten want feel better,41
recently how can i start again lately,motivation,hopeful,37,recently start lately,21
sometimes i wake up tired but i do not know what to do,sleep,anxious,54,sometimes wake tired know,25
honestly i miss having someone close,loneliness,down,36,honestly miss someone close,27
at night i am angry upon you and i feel stuck,anger,frustrated,45,night angry upon feel stuck,27
at night i need motivation today,motivation,determined,32,night need motivation today,27
honestly i cannot stop overthinking lately,anxiety,worried,42,honestly stop overthinking lately,33
i am afraid of failing please help me,academic_pressure,anxious,37,afraid failing please help,26
at night i am getting mad and i feel stuck,anger,upset,42,night getting mad feel stuck,28
in class i feel lucky to have support these days,gratitude,grateful,48,class feel lucky support day,28
i want to keep going please help me,motivation,neutral,35,want keep going please help,27
i am worried something bad will happen and i feel stuck,anxiety,anxious,55,worried something bad happen feel stuck,39
honestly i feel hopeless right now and i need help,sadness,sad,50,honestly feel hopeless right need help,38
recently they do not understand me and it is affecting me,relationship,upset,57,recently understand affecting,29
at night i am happy today and i need help,positive,determined,41,night happy today need help,27
at night i have trouble falling asleep but i do not know what to do,sleep,anxious,67,night trouble falling asleep know,33
in class i miss my friend and i want to feel better,relationship,worried,51,class miss friend want feel better,34
sometimes i sleep too late and it is affecting me,sleep,tired,49,sometimes sleep late affecting,30
honestly thank you i feel supported and i feel stuck,gratitude,grateful,52,honestly thank feel supported feel stuck,40
i keep comparing myself to others,self_esteem,sad,33,keep comparing others,21
at home i hate how i look please help me,self_esteem,sad,40,home hate look please help,26
in class i feel peaceful right now lately,positive,happy,41,class feel peaceful right lately,32
at night i want to keep going please help me,motivation,neutral,44,night want keep going please help,33
honestly i am scared about the future because it keeps happening,anxiety,nervous,64,honestly scared future keep happening,37
at night my heart feels heavy and i need help,sadness,hopeless,45,night heart feel heavy need help,32
in class i am afraid of failing,academic_pressure,stressed,31,class afraid failing,20
honestly i need a break and it is affecting me,stress,frustrated,46,honestly need break affecting,29
at night i feel worthless sometimes and it is affecting me,self_esteem,confused,58,night feel worthless sometimes affecting,40
honestly i appreciate my family right now,gratitude,content,41,honestly appreciate family right,32
at night i cannot control my anger and i need help,anger,angry,50,night control anger need help,29
recently i cannot handle all this pressure but i do not know what to do,stress,overwhelmed,71,recently handle pressure know,29
at home i feel pressure from every side and i need help,stress,stressed,55,home feel pressure every side need help,39
recently i miss having someone close lately,loneliness,down,43,recently miss someone close lately,34
at night i wake up tired because it keeps happening,sleep,stressed,51,night wake tired keep happening,31
in class i am scared about the future and i need help,anxiety,overwhelmed,53,class scared future need help,29
recently i need company and i want to feel better,loneliness,sad,49,recently need company want feel better,38
hey there,greeting,content,9,hey,3
sometimes i feel empty inside please help me,sadness,upset,44,sometimes feel empty inside please help,39
sometimes i feel frustrated with everyone today,anger,angry,47,sometimes feel frustrated everyone today,40
sometimes i miss my friend lately,relationship,upset,33,sometimes miss friend lately,28
at home i need encouragement and i need help,motivation,neutral,44,home need encouragement need help,33
in class i cannot stop crying and it is affecting me,sadness,depressed,52,class stop cry affecting,24
at home how can i pass my exams and it is affecting me,academic_pressure,anxious,54,home pas exam affecting,23
at night i had a good day and i want to feel better,positive,content,51,night good day want feel better,31
at home i cannot stop overthinking and i feel stuck,anxiety,worried,51,home stop overthinking feel stuck,33
recently i feel burned out lately,stress,stressed,33,recently feel burned lately,27
i need a break and i feel stuck,stress,overwhelmed,31,need break feel stuck,21
recently i feel more confident and i feel stuck,positive,determined,47,recently feel confident feel stuck,34
at home i am worried about my grades right now,academic_pressure,worried,46,home worried grade right,24
in class i feel like a failure please help me,self_esteem,hopeless,45,class feel like failure please help,35
honestly i want to keep going right now,motivation,determined,39,honestly want keep going right,30
in class i need motivation today,motivation,determined,32,class need motivation today,27
honestly i feel rejected because it keeps happening,relationship,upset,51,honestly feel rejected keep happening,37
in class i feel lucky to have support but i do not know what to do,gratitude,happy,66,class feel lucky support know,29
recently i feel worthless sometimes please help me,self_esteem,hopeless,50,recently feel worthless sometimes please help,45
honestly i feel isolated and i feel stuck,loneliness,sad,41,honestly feel isolated feel stuck,33
honestly how can i pass my exams and i feel stuck,academic_pressure,anxious,49,honestly pas exam feel stuck,28
sometimes i feel aggressive right now lately,anger,upset,44,sometimes feel aggressive right lately,38
in class i am stressed because of exams because it keeps happening,academic_pressure,worried,66,class stressed exam keep happening,34
recently i feel like i am not good enough and i need help,self_esteem,hopeless,57,recently feel like good enough need help,40
honestly i doubt myself and it is affecting me,self_esteem,sad,46,honestly doubt affecting,24
sometimes my mind stays awake these days,sleep,tired,40,sometimes mind stay awake day,29
i need help planning my studies and i want to feel better,academic_pressure,worried,57,need help planning study want feel better,41
recently i feel calm today please help me,positive,hopeful,41,recently feel calm today please help,36
recently i keep overthinking at night because it keeps happening,sleep,anxious,64,recently keep overthinking night keep happening,47
honestly i cannot stop crying right now,sadness,depressed,39,honestly stop cry right,23
recently nothing feels good today and i need help,sadness,depressed,49,recently nothing feel good today need help,42
at night thanks that helped me because it keeps happening,gratitude,content,57,night thanks helped keep happening,34
honestly i feel empty inside,sadness,upset,28,honestly feel empty inside,26
in class i want to feel better today,motivation,determined,36,class want feel better today,28
sometimes i am tired of dealing with problems,stress,frustrated,45,sometimes tired dealing problem,31
i feel nervous today and it is affecting me,anxiety,overwhelmed,43,feel nervous today affecting,28
recently my mind stays awake right now,sleep,stressed,38,recently mind stay awake right,30
at home i feel anxious because it keeps happening,anxiety,overwhelmed,49,home feel anxious keep happening,32
sometimes how can i start again right now,motivation,determined,41,sometimes start right,21
in class i am proud of myself and i feel stuck,positive,content,46,class proud feel stuck,22
in class i feel lazy but want to change please help me,motivation,tired,54,class feel lazy want change please help,39
at home i have no one to share this with and it is affecting me,loneliness,sad,63,home one share affecting,24
at home i feel forgotten today,loneliness,down,30,home feel forgotten today,25
sometimes nothing feels good today because it keeps happening,sadness,sad,61,sometimes nothing feel good today keep happening,48
sometimes i am stressed because of exams lately,academic_pressure,overwhelmed,47,sometimes stressed exam lately,30
at home my friend ignored me lately,relationship,upset,35,home friend ignored lately,26
at night i am happy today and it is affecting me,positive,hopeful,48,night happy today affecting,27
at night i am tired of dealing with problems and i feel stuck,stress,stressed,61,night tired dealing problem feel stuck,38
i feel forgotten but i do not know what to do,loneliness,lonely,45,feel forgotten know,19
sometimes i am worried about my grades lately,academic_pressure,worried,45,sometimes worried grade lately,30
honestly i need a small step to begin and it is affecting me,motivation,tired,60,honestly need small step begin affecting,40
at home exam pressure is overwhelming and it is affecting me,academic_pressure,anxious,60,home exam pressure overwhelming affecting,41
in class i have no one to share this with please help me,loneliness,down,56,class one share please help,27
in class everything feels like too much please help me,stress,overwhelmed,54,class everything feel like much please help,43
sometimes i doubt myself these days,self_esteem,sad,35,sometimes doubt day,19
how can i pass my exams lately,academic_pressure,worried,30,pas exam lately,15
recently i feel like a failure today,self_esteem,insecure,36,recently feel like failure today,32
at night i feel isolated and i want to feel better,loneliness,down,50,night feel isolated want feel better,36
recently my friend ignored me please help me,relationship,upset,44,recently friend ignored please help,35
at night i want to build better habits and i feel stuck,motivation,hopeful,55,night want build better habit feel stuck,40
sometimes i feel anxious,anxiety,anxious,24,sometimes feel anxious,22
at home someone close disappointed me these days,relationship,sad,48,home someone close disappointed day,35
honestly i feel empty inside right now,sadness,depressed,38,honestly feel empty inside right,32
in class i keep imagining the worst because it keeps happening,anxiety,nervous,62,class keep imagining worst keep happening,41
in class i am worried about my grades and i need help,academic_pressure,anxious,53,class worried grade need help,29
recently thank you i feel supported,gratitude,content,35,recently thank feel supported,29
at home i need better sleep because it keeps happening,sleep,stressed,54,home need better sleep keep happening,37
at home i am tired of dealing with problems and i want to feel better,stress,stressed,69,home tired dealing problem want feel better,43
honestly i feel anxious and it is affecting me,anxiety,anxious,46,honestly feel anxious affecting,31
at night i need help planning my studies and i want to feel better,academic_pressure,overwhelmed,66,night need help planning study want feel better,47
in class i want to build better habits,motivation,determined,38,class want build better habit,29
in class i doubt myself lately,self_esteem,confused,30,class doubt lately,18
at home i keep overthinking at night right now,sleep,stressed,46,home keep overthinking night right,34
in class i had a fight with someone close and i need help,relationship,upset,57,class fight someone close need help,35
in class hi lately,greeting,content,18,class hi lately,15
in class i am angry upon you and i want to feel better,anger,upset,54,class angry upon want feel better,33
recently i cannot control my anger because it keeps happening,anger,frustrated,61,recently control anger keep happening,37
i cannot stop crying please help me,sadness,depressed,35,stop cry please help,20
honestly can we talk right now,greeting,happy,30,honestly talk right,19
at home i feel exhausted every morning please help me,sleep,tired,53,home feel exhausted every morning please help,45
recently i want to cry and i want to feel better,sadness,hopeless,48,recently want cry want feel better,34
sometimes i feel frustrated with everyone,anger,angry,41,sometimes feel frustrated everyone,34
at home good morning and i need help,greeting,neutral,36,home good morning need help,27
at home i sleep too late and i want to feel better,sleep,tired,50,home sleep late want feel better,32
recently nobody talks to me and i want to feel better,loneliness,lonely,53,recently nobody talk want feel better,37
sometimes nobody talks to me,loneliness,sad,28,sometimes nobody talk,21
i feel like i am not good enough and it is affecting me,self_esteem,hopeless,55,feel like good enough affecting,31
in class i feel worthless sometimes and i need help,self_esteem,hopeless,51,class feel worthless sometimes need help,40
i cannot focus on studying,academic_pressure,stressed,26,focus studying,14
honestly i am worried something bad will happen but i do not know what to do,anxiety,overwhelmed,76,honestly worried something bad happen know,42
at night i cannot believe in myself and i need help,self_esteem,insecure,51,night believe need help,23
in class i feel exhausted every morning but i do not know what to do,sleep,tired,68,class feel exhausted every morning know,39
in class i need a break and i want to feel better,stress,stressed,49,class need break want feel better,33
sometimes hi and i need help,greeting,content,28,sometimes hi need help,22
in class i miss my friend and it is affecting me,relationship,upset,48,class miss friend affecting,27
at night i feel isolated and i feel stuck,loneliness,sad,41,night feel isolated feel stuck,30
honestly i feel frustrated with everyone because it keeps happening,anger,frustrated,67,honestly feel frustrated everyone keep happening,48
at night i need someone to talk to please help me,greeting,neutral,49,night need someone talk please help,35
at night i am worried about my grades these days,academic_pressure,worried,48,night worried grade day,23
in class i feel frustrated with everyone and i need help,anger,frustrated,56,class feel frustrated everyone need help,40
sometimes i feel restless and tense and i need help,anxiety,worried,51,sometimes feel restless tense need help,39
i had a good day lately,positive,hopeful,23,good day lately,15
honestly i cannot believe in myself and i want to feel better,self_esteem,insecure,61,honestly believe want feel better,33
recently i keep comparing myself to others because it keeps happening,self_esteem,insecure,69,recently keep comparing others keep happening,45
at night hey can you listen to me today,greeting,content,39,night hey listen today,22
in class i am scared i will disappoint everyone and i want to feel better,self_esteem,confused,73,class scared disappoint everyone want feel better,49
recently i keep imagining the worst because it keeps happening,anxiety,anxious,62,recently keep imagining worst keep happening,44
recently i cannot focus on studying right now,academic_pressure,overwhelmed,45,recently focus studying right,29
i keep overthinking at night and i feel stuck,sleep,tired,45,keep overthinking night feel stuck,34
at home i feel sad today and i need help,sadness,sad,40,home feel sad today need help,29
in class my mind is overloaded and it is affecting me,stress,overwhelmed,53,class mind overloaded affecting,31
at home i cannot sleep and it is affecting me,sleep,tired,45,home sleep affecting,20
i miss my friend because it keeps happening,relationship,sad,43,miss friend keep happening,26
recently i feel aggressive right now because it keeps happening,anger,frustrated,63,recently feel aggressive right keep happening,45
honestly i feel panic building up and i feel stuck,anxiety,anxious,50,honestly feel panic building feel stuck,39
i am angry at my friend please help me,anger,upset,38,angry friend please help,24
recently how can i start again,motivation,tired,30,recently start,14
work is overwhelming right now,stress,frustrated,30,work overwhelming right,23
sometimes i had a good day please help me,positive,content,41,sometimes good day please help,30
at night help me stay consistent these days,motivation,hopeful,43,night help stay consistent day,30
in class my heart feels heavy because it keeps happening,sadness,sad,56,class heart feel heavy keep happening,37
my mind is overloaded and i need help,stress,stressed,37,mind overloaded need help,25
at night i feel lucky to have support and it is affecting me,gratitude,content,60,night feel lucky support affecting,34
at night i feel exhausted every morning right now,sleep,stressed,49,night feel exhausted every morning right,40
at home my thoughts are moving too fast and it is affecting me,anxiety,anxious,62,home thought moving fast affecting,34
in class i feel peaceful right now and i feel stuck,positive,content,51,class feel peaceful right feel stuck,36
i feel useless and i feel stuck,self_esteem,hopeless,31,feel useless feel stuck,23
sometimes they do not understand me and i feel stuck,relationship,confused,52,sometimes understand feel stuck,31
in class hi and i want to feel better,greeting,content,37,class hi want feel better,25
at night i feel anxious and i feel stuck,anxiety,nervous,40,night feel anxious feel stuck,29
in class i feel burned out these days,stress,frustrated,37,class feel burned day,21
in class how can i start again lately,motivation,hopeful,37,class start lately,18
at night my thoughts are moving too fast but i do not know what to do,anxiety,anxious,69,night thought moving fast know,30
recently i need better sleep please help me,sleep,tired,43,recently need better sleep please help,38
honestly i am angry these days,anger,frustrated,30,honestly angry day,18
