text,intent,emotion
my heart is racing and i need help,anxiety,worried
recently i cannot believe in myself and i feel stuck,self_esteem,insecure
at home i miss having someone close but i do not know what to do,loneliness,sad
in class hey there and it is affecting me,greeting,content
at night i feel pressure from every side right now,stress,overwhelmed
honestly i wake up tired but i do not know what to do,sleep,tired
i wake up tired and i need help,sleep,anxious
at home i feel burned out right now,stress,tired
honestly i cannot stop overthinking,anxiety,overwhelmed
at home i feel hopeful these days,positive,determined
sometimes good evening please help me,greeting,neutral
at home i need someone to talk to but i do not know what to do,greeting,neutral
at home i feel hurt by someone i love because it keeps happening,relationship,worried
i feel more confident because it keeps happening,positive,determined
i am scared i will disappoint everyone and it is affecting me,self_esteem,confused
sometimes thank you for listening but i do not know what to do,gratitude,grateful
honestly i feel isolated but i do not know what to do,loneliness,down
at night hello i want to chat but i do not know what to do,greeting,neutral
good evening please help me,greeting,happy
in class someone close disappointed me right now,relationship,upset
in class work is overwhelming and i feel stuck,stress,stressed
at night i keep comparing myself to others because it keeps happening,self_esteem,insecure
in class thanks that helped me and it is affecting me,gratitude,content
recently i cannot control my anger,anger,upset
at night thanks that helped me but i do not know what to do,gratitude,happy
sometimes i procrastinated and exams are near lately,academic_pressure,overwhelmed
recently i have no one to share this with but i do not know what to do,loneliness,lonely
at home i feel stressed right now,stress,frustrated
at home i feel isolated lately,loneliness,down
my thoughts are moving too fast these days,anxiety,worried
at night everyone seems busy without me and i need help,loneliness,sad
i need company lately,loneliness,sad
i am getting mad and i want to feel better,anger,angry
recently i am grateful for small things today these days,gratitude,content
i need someone to talk to and i want to feel better,greeting,content
at home i feel like shouting and it is affecting me,anger,frustrated
at home i want to cry right now,sadness,sad
at home i feel alone even around people right now,loneliness,lonely
sometimes i need a break please help me,stress,frustrated
recently i am proud of myself today,positive,hopeful
at home my assignments are too much and i feel stuck,academic_pressure,anxious
recently i had a good day and it is affecting me,positive,hopeful
honestly i am afraid of failing lately,academic_pressure,anxious
honestly i keep overthinking at night,sleep,anxious
honestly i want to cry please help me,sadness,hopeless
at home i need help planning my studies,academic_pressure,worried
honestly i am scared about the future today,anxiety,nervous
in class i have no one to share this with and i need help,loneliness,sad
sometimes i am tired of dealing with problems and it is affecting me,stress,frustrated
at night i keep overthinking at night and i want to feel better,sleep,stressed
at night i feel alone even around people lately,loneliness,sad
in class i feel down for no reason,sadness,sad
at night i need better sleep,sleep,stressed
at night i want to build better habits right now,motivation,neutral
at home i feel isolated and i feel stuck,loneliness,sad
recently i had a good day and i feel stuck,positive,content
recently exam pressure is overwhelming and i want to feel better,academic_pressure,anxious
at night i feel anxious but i do not know what to do,anxiety,anxious
recently i do not feel confident but i do not know what to do,self_esteem,sad
at home work is overwhelming and i want to feel better,stress,stressed
recently everyone seems busy without me,loneliness,lonely
i feel empty inside and i need help,sadness,down
at home thanks for being here and i feel stuck,gratitude,happy
at home i feel aggressive right now and i need help,anger,angry
recently hey there,greeting,content
sometimes i have no one to share this with and i need help,loneliness,down
at home i miss having someone close today,loneliness,lonely
in class i feel pressure from every side,stress,overwhelmed
at night i appreciate your help and i feel stuck,gratitude,happy
at night i miss my friend and i want to feel better,relationship,worried
in class my relationship is stressful but i do not know what to do,relationship,worried
how can i pass my exams and it is affecting me,academic_pressure,worried
at home i am confused about my relationship because it keeps happening,relationship,worried
at home i want to cry and i feel stuck,sadness,upset
sometimes i am getting mad please help me,anger,upset
at home i am angry upon you these days,anger,frustrated
at night i procrastinated and exams are near today,academic_pressure,stressed
i feel sad today lately,sadness,down
at night i feel depressed today and i need help,sadness,sad
sometimes my thoughts are moving too fast and i need help,anxiety,anxious
honestly i feel peaceful right now and i need help,positive,determined
in class i feel empty inside these days,sadness,upset
in class my thoughts are moving too fast but i do not know what to do,anxiety,anxious
i feel panic building up,anxiety,worried
i feel lonely but i do not know what to do,loneliness,down
honestly i am confused about my relationship lately,relationship,upset
at night i feel lazy but want to change but i do not know what to do,motivation,hopeful
recently i am scared i will disappoint everyone right now,self_esteem,hopeless
recently i feel rejected right now,relationship,sad
honestly my heart feels heavy,sadness,upset
recently i need help planning my studies and i need help,academic_pressure,stressed
recently i feel burned out right now,stress,tired
sometimes i am worried something bad will happen and i want to feel better,anxiety,worried
recently i feel lonely please help me,loneliness,down
in class i keep comparing myself to others and i want to feel better,self_esteem,confused
in class i need a break lately,stress,frustrated
in class i wake up tired and it is affecting me,sleep,stressed
recently i need better sleep,sleep,stressed
i feel stressed today,stress,frustrated
recently i hate how i look these days,self_esteem,insecure
honestly i feel isolated,loneliness,down
sometimes i have too much study pressure these days,academic_pressure,stressed
at night i am afraid of failing and i want to feel better,academic_pressure,stressed
sometimes i am worried about my grades please help me,academic_pressure,anxious
i feel peaceful right now but i do not know what to do,positive,content
in class i feel worthless sometimes and it is affecting me,self_esteem,hopeless
at home i feel lonely but i do not know what to do,loneliness,sad
sometimes i miss my friend and i need help,relationship,worried
my thoughts are moving too fast but i do not know what to do,anxiety,nervous
recently i am confused about my relationship,relationship,worried
at night good morning lately,greeting,neutral
in class i am worried about my grades and it is affecting me,academic_pressure,overwhelmed
in class i need a small step to begin today,motivation,tired
honestly i feel empty inside right now,sadness,upset
sometimes i am worried something bad will happen because it keeps happening,anxiety,anxious
at night i am excited about tomorrow and it is affecting me,positive,happy
i am scared about the future today,anxiety,anxious
sometimes i feel grateful today these days,gratitude,content
honestly i need a break today,stress,stressed
in class i have too much study pressure and i need help,academic_pressure,stressed
in class i am angry right now,anger,angry
at home i need help planning my studies and i feel stuck,academic_pressure,overwhelmed
recently i cannot sleep because it keeps happening,sleep,tired
at night i am sad and tired but i do not know what to do,sadness,hopeless
sometimes i need better sleep and it is affecting me,sleep,anxious
sometimes i feel forgotten and i want to feel better,loneliness,sad
recently how can i start again lately,motivation,hopeful
sometimes i wake up tired but i do not know what to do,sleep,anxious
honestly i miss having someone close,loneliness,down
at night i am angry upon you and i feel stuck,anger,frustrated
at night i need motivation today,motivation,determined
honestly i cannot stop overthinking lately,anxiety,worried
i am afraid of failing please help me,academic_pressure,anxious
at night i am getting mad and i feel stuck,anger,upset
in class i feel lucky to have support these days,gratitude,grateful
i want to keep going please help me,motivation,neutral
i am worried something bad will happen and i feel stuck,anxiety,anxious
honestly i feel hopeless right now and i need help,sadness,sad
recently they do not understand me and it is affecting me,relationship,upset
at night i am happy today and i need help,positive,determined
at night i have trouble falling asleep but i do not know what to do,sleep,anxious
in class i miss my friend and i want to feel better,relationship,worried
sometimes i sleep too late and it is affecting me,sleep,tired
honestly thank you i feel supported and i feel stuck,gratitude,grateful
i keep comparing myself to others,self_esteem,sad
at home i hate how i look please help me,self_esteem,sad
in class i feel peaceful right now lately,positive,happy
at night i want to keep going please help me,motivation,neutral
honestly i am scared about the future because it keeps happening,anxiety,nervous
at night my heart feels heavy and i need help,sadness,hopeless
in class i am afraid of failing,academic_pressure,stressed
honestly i need a break and it is affecting me,stress,frustrated
at night i feel worthless sometimes and it is affecting me,self_esteem,confused
honestly i appreciate my family right now,gratitude,content
at night i cannot control my anger and i need help,anger,angry
recently i cannot handle all this pressure but i do not know what to do,stress,overwhelmed
at home i feel pressure from every side and i need help,stress,stressed
recently i miss having someone close lately,loneliness,down
at night i wake up tired because it keeps happening,sleep,stressed
in class i am scared about the future and i need help,anxiety,overwhelmed
recently i need company and i want to feel better,loneliness,sad
hey there,greeting,content
sometimes i feel empty inside please help me,sadness,upset
sometimes i feel frustrated with everyone today,anger,angry
sometimes i miss my friend lately,relationship,upset
at home i need encouragement and i need help,motivation,neutral
in class i cannot stop crying and it is affecting me,sadness,depressed
at home how can i pass my exams and it is affecting me,academic_pressure,anxious
at night i had a good day and i want to feel better,positive,content
at home i cannot stop overthinking and i feel stuck,anxiety,worried
recently i feel burned out lately,stress,stressed
i need a break and i feel stuck,stress,overwhelmed
recently i feel more confident and i feel stuck,positive,determined
at home i am worried about my grades right now,academic_pressure,worried
in class i feel like a failure please help me,self_esteem,hopeless
honestly i want to keep going right now,motivation,determined
in class i need motivation today,motivation,determined
honestly i feel rejected because it keeps happening,relationship,upset
in class i feel lucky to have support but i do not know what to do,gratitude,happy
recently i feel worthless sometimes please help me,self_esteem,hopeless
honestly i feel isolated and i feel stuck,loneliness,sad
honestly how can i pass my exams and i feel stuck,academic_pressure,anxious
sometimes i feel aggressive right now lately,anger,upset
in class i am stressed because of exams because it keeps happening,academic_pressure,worried
recently i feel like i am not good enough and i need help,self_esteem,hopeless
honestly i doubt myself and it is affecting me,self_esteem,sad
sometimes my mind stays awake these days,sleep,tired
i need help planning my studies and i want to feel better,academic_pressure,worried
recently i feel calm today please help me,positive,hopeful
recently i keep overthinking at night because it keeps happening,sleep,anxious
honestly i cannot stop crying right now,sadness,depressed
recently nothing feels good today and i need help,sadness,depressed
at night thanks that helped me because it keeps happening,gratitude,content
honestly i feel empty inside,sadness,upset
in class i want to feel better today,motivation,determined
sometimes i am tired of dealing with problems,stress,frustrated
i feel nervous today and it is affecting me,anxiety,overwhelmed
recently my mind stays awake right now,sleep,stressed
at home i feel anxious because it keeps happening,anxiety,overwhelmed
sometimes how can i start again right now,motivation,determined
in class i am proud of myself and i feel stuck,positive,content
in class i feel lazy but want to change please help me,motivation,tired
at home i have no one to share this with and it is affecting me,loneliness,sad
at home i feel forgotten today,loneliness,down
sometimes nothing feels good today because it keeps happening,sadness,sad
sometimes i am stressed because of exams lately,academic_pressure,overwhelmed
at home my friend ignored me lately,relationship,upset
at night i am happy today and it is affecting me,positive,hopeful
at night i am tired of dealing with problems and i feel stuck,stress,stressed
i feel forgotten but i do not know what to do,loneliness,lonely
sometimes i am worried about my grades lately,academic_pressure,worried
honestly i need a small step to begin and it is affecting me,motivation,tired
at home exam pressure is overwhelming and it is affecting me,academic_pressure,anxious
in class i have no one to share this with please help me,loneliness,down
in class everything feels like too much please help me,stress,overwhelmed
sometimes i doubt myself these days,self_esteem,sad
how can i pass my exams lately,academic_pressure,worried
recently i feel like a failure today,self_esteem,insecure
at night i feel isolated and i want to feel better,loneliness,down
recently my friend ignored me please help me,relationship,upset
at night i want to build better habits and i feel stuck,motivation,hopeful
sometimes i feel anxious,anxiety,anxious
at home someone close disappointed me these days,relationship,sad
honestly i feel empty inside right now,sadness,depressed
in class i keep imagining the worst because it keeps happening,anxiety,nervous
in class i am worried about my grades and i need help,academic_pressure,anxious
recently thank you i feel supported,gratitude,content
at home i need better sleep because it keeps happening,sleep,stressed
at home i am tired of dealing with problems and i want to feel better,stress,stressed
honestly i feel anxious and it is affecting me,anxiety,anxious
at night i need help planning my studies and i want to feel better,academic_pressure,overwhelmed
in class i want to build better habits,motivation,determined
in class i doubt myself lately,self_esteem,confused
at home i keep overthinking at night right now,sleep,stressed
in class i had a fight with someone close and i need help,relationship,upset
in class hi lately,greeting,content
in class i am angry upon you and i want to feel better,anger,upset
recently i cannot control my anger because it keeps happening,anger,frustrated
i cannot stop crying please help me,sadness,depressed
honestly can we talk right now,greeting,happy
at home i feel exhausted every morning please help me,sleep,tired
recently i want to cry and i want to feel better,sadness,hopeless
sometimes i feel frustrated with everyone,anger,angry
at home good morning and i need help,greeting,neutral
at home i sleep too late and i want to feel better,sleep,tired
recently nobody talks to me and i want to feel better,loneliness,lonely
sometimes nobody talks to me,loneliness,sad
i feel like i am not good enough and it is affecting me,self_esteem,hopeless
in class i feel worthless sometimes and i need help,self_esteem,hopeless
i cannot focus on studying,academic_pressure,stressed
honestly i am worried something bad will happen but i do not know what to do,anxiety,overwhelmed
at night i cannot believe in myself and i need help,self_esteem,insecure
in class i feel exhausted every morning but i do not know what to do,sleep,tired
in class i need a break and i want to feel better,stress,stressed
sometimes hi and i need help,greeting,content
in class i miss my friend and it is affecting me,relationship,upset
at night i feel isolated and i feel stuck,loneliness,sad
honestly i feel frustrated with everyone because it keeps happening,anger,frustrated
at night i need someone to talk to please help me,greeting,neutral
at night i am worried about my grades these days,academic_pressure,worried
in class i feel frustrated with everyone and i need help,anger,frustrated
sometimes i feel restless and tense and i need help,anxiety,worried
i had a good day lately,positive,hopeful
honestly i cannot believe in myself and i want to feel better,self_esteem,insecure
recently i keep comparing myself to others because it keeps happening,self_esteem,insecure
at night hey can you listen to me today,greeting,content
in class i am scared i will disappoint everyone and i want to feel better,self_esteem,confused
recently i keep imagining the worst because it keeps happening,anxiety,anxious
recently i cannot focus on studying right now,academic_pressure,overwhelmed
i keep overthinking at night and i feel stuck,sleep,tired
at home i feel sad today and i need help,sadness,sad
in class my mind is overloaded and it is affecting me,stress,overwhelmed
at home i cannot sleep and it is affecting me,sleep,tired
i miss my friend because it keeps happening,relationship,sad
recently i feel aggressive right now because it keeps happening,anger,frustrated
honestly i feel panic building up and i feel stuck,anxiety,anxious
i am angry at my friend please help me,anger,upset
recently how can i start again,motivation,tired
work is overwhelming right now,stress,frustrated
sometimes i had a good day please help me,positive,content
at night help me stay consistent these days,motivation,hopeful
in class my heart feels heavy because it keeps happening,sadness,sad
my mind is overloaded and i need help,stress,stressed
at night i feel lucky to have support and it is affecting me,gratitude,content
at night i feel exhausted every morning right now,sleep,stressed
at home my thoughts are moving too fast and it is affecting me,anxiety,anxious
in class i feel peaceful right now and i feel stuck,positive,content
i feel useless and i feel stuck,self_esteem,hopeless
sometimes they do not understand me and i feel stuck,relationship,confused
in class hi and i want to feel better,greeting,content
at night i feel anxious and i feel stuck,anxiety,nervous
in class i feel burned out these days,stress,frustrated
in class how can i start again lately,motivation,hopeful
at night my thoughts are moving too fast but i do not know what to do,anxiety,anxious
recently i need better sleep please help me,sleep,tired
honestly i am angry these days,anger,frustrated
sometimes i am scared i will disappoint everyone and it is affecting me,self_esteem,sad
at home thanks for being here and i feel stuck,gratitude,content
in class nobody talks to me and i want to feel better,loneliness,lonely
at night i have trouble falling asleep and it is affecting me,sleep,anxious
sometimes i am scared about the future and i want to feel better,anxiety,anxious
sometimes i feel anxious today,anxiety,worried
honestly i need better sleep and i want to feel better,sleep,stressed
at night my sleep is disturbed and i need help,sleep,anxious
sometimes someone made me furious these days,anger,frustrated
honestly i had a fight with someone close lately,relationship,worried
recently i want to keep going right now,motivation,determined
my relationship is stressful right now,relationship,sad
i feel sad today right now,sadness,down
at home my sleep is disturbed today,sleep,anxious
honestly my sleep is disturbed right now,sleep,stressed
i hate how i look right now,self_esteem,insecure
recently i cannot believe in myself right now,self_esteem,confused
in class i cannot relax at bedtime lately,sleep,anxious
honestly my heart is racing because it keeps happening,anxiety,worried
in class good morning today,greeting,content
at night i feel more confident because it keeps happening,positive,determined
at night nobody talks to me please help me,loneliness,sad
honestly i need help planning my studies today,academic_pressure,stressed
in class good evening and i want to feel better,greeting,neutral
recently i keep overthinking at night but i do not know what to do,sleep,stressed
i cannot control my anger but i do not know what to do,anger,frustrated
in class thanks for being here because it keeps happening,gratitude,happy
recently my thoughts are moving too fast today,anxiety,worried
in class i cannot stop crying today,sadness,sad
at night i need company,loneliness,down
honestly i feel anxious these days,anxiety,worried
at home i feel hopeful and i want to feel better,positive,hopeful
i need encouragement today,motivation,hopeful
at home i am scared about the future these days,anxiety,anxious
i keep overthinking at night because it keeps happening,sleep,tired
at home i feel grateful today lately,gratitude,content
in class good morning lately,greeting,content
at night everyone seems busy without me,loneliness,sad
in class nobody talks to me because it keeps happening,loneliness,sad
sometimes i feel peaceful right now right now,positive,content
i have too many responsibilities today,stress,tired
at home i feel peaceful right now and i need help,positive,content
sometimes i am happy today lately,positive,determined
i feel down for no reason and i feel stuck,sadness,depressed
my thoughts are moving too fast,anxiety,worried
recently i cannot focus on studying and i need help,academic_pressure,stressed
sometimes i feel hopeless right now and i want to feel better,sadness,depressed
in class hello and i want to feel better,greeting,content
sometimes i wake up tired today,sleep,stressed
at night i feel anxious right now,anxiety,overwhelmed
in class i feel like i am not good enough,self_esteem,sad
sometimes nobody talks to me today,loneliness,sad
honestly my assignments are too much because it keeps happening,academic_pressure,anxious
recently i am excited about tomorrow right now,positive,hopeful
recently i need company and it is affecting me,loneliness,lonely
in class i need encouragement because it keeps happening,motivation,neutral
honestly i feel lazy but want to change because it keeps happening,motivation,neutral
recently i feel forgotten and it is affecting me,loneliness,lonely
recently i need someone to talk to because it keeps happening,greeting,neutral
at night exam pressure is overwhelming,academic_pressure,overwhelmed
i am getting mad and it is affecting me,anger,upset
honestly i hate how i look and i need help,self_esteem,confused
honestly hey can you listen to me these days,greeting,neutral
sometimes i am angry upon you lately,anger,frustrated
sometimes i feel stressed lately,stress,overwhelmed
honestly hi,greeting,content
at home i procrastinated and exams are near and i feel stuck,academic_pressure,worried
honestly can we talk because it keeps happening,greeting,neutral
i feel rejected,relationship,upset
sometimes i want to keep going please help me,motivation,neutral
at home i am happy today right now,positive,happy
at night i feel calm today and i want to feel better,positive,hopeful
honestly i procrastinated and exams are near and it is affecting me,academic_pressure,anxious
sometimes hi and i want to feel better,greeting,content
recently i am thankful for my friends right now,gratitude,happy
i cannot relax at bedtime and it is affecting me,sleep,anxious
sometimes i cannot handle all this pressure and i need help,stress,stressed
in class i have no one to share this with these days,loneliness,down
at night i hate how i look lately,self_esteem,sad
in class i procrastinated and exams are near and i want to feel better,academic_pressure,overwhelmed
sometimes i keep overthinking at night but i do not know what to do,sleep,anxious
at home i need a small step to begin and i want to feel better,motivation,tired
at night i am happy today lately,positive,happy
i want to cry lately,sadness,depressed
at home they do not understand me and i need help,relationship,sad
at home good morning and i want to feel better,greeting,content
sometimes i feel hurt by someone i love and it is affecting me,relationship,worried
sometimes i feel burned out,stress,stressed
sometimes i cannot relax at bedtime and it is affecting me,sleep,stressed
hello right now,greeting,neutral
at night i feel peaceful right now and i feel stuck,positive,happy
recently i cannot believe in myself because it keeps happening,self_esteem,confused
in class i cannot stop crying right now,sadness,down
sometimes nobody talks to me and i need help,loneliness,down
in class i hate how i look and i feel stuck,self_esteem,insecure
at night i cannot believe in myself right now,self_esteem,hopeless
in class i feel like i am not good enough right now,self_esteem,confused
at night i feel like a failure,self_esteem,hopeless
honestly everything feels like too much but i do not know what to do,stress,overwhelmed
i cannot handle all this pressure and i want to feel better,stress,stressed
sometimes i feel like shouting these days,anger,frustrated
honestly i feel useless these days,self_esteem,sad
sometimes i feel lucky to have support today,gratitude,content
i need a break please help me,stress,stressed
recently my sleep is disturbed and it is affecting me,sleep,anxious
at night i am stressed because of exams today,academic_pressure,overwhelmed
at night i feel sad today because it keeps happening,sadness,down
at home i had a good day because it keeps happening,positive,content
honestly work is overwhelming these days,stress,overwhelmed
in class i feel hopeless right now please help me,sadness,sad
sometimes i keep comparing myself to others and it is affecting me,self_esteem,hopeless
sometimes i appreciate my family and it is affecting me,gratitude,grateful
in class i had a fight with someone close today,relationship,sad
i need encouragement today,motivation,neutral
recently i am getting mad right now,anger,angry
recently i am getting mad and i want to feel better,anger,upset
i need a small step to begin and i feel stuck,motivation,hopeful
i need help planning my studies and i feel stuck,academic_pressure,worried
in class my sleep is disturbed lately,sleep,tired
i need motivation right now,motivation,neutral
sometimes i feel peaceful right now and it is affecting me,positive,happy
hi please help me,greeting,content
sometimes exam pressure is overwhelming please help me,academic_pressure,overwhelmed
sometimes i miss my friend and it is affecting me,relationship,upset
sometimes are you there today,greeting,neutral
sometimes i feel anxious and i feel stuck,anxiety,anxious
at home thanks that helped me but i do not know what to do,gratitude,content
at night i am worried about my grades but i do not know what to do,academic_pressure,stressed
at night i feel depressed today and i want to feel better,sadness,upset
in class i need a small step to begin and i feel stuck,motivation,hopeful
sometimes thanks that helped me and i want to feel better,gratitude,grateful
honestly i feel sad today lately,sadness,down
at night i feel like a failure because it keeps happening,self_esteem,sad
i am sad and tired and i feel stuck,sadness,down
recently i am worried about my grades and i feel stuck,academic_pressure,overwhelmed
recently i feel hopeless right now these days,sadness,down
i do not know how to fix this relationship and i feel stuck,relationship,confused
recently i want to feel better and it is affecting me,motivation,determined
in class i want to build better habits,motivation,hopeful
recently i cannot focus on studying and i want to feel better,academic_pressure,anxious
honestly i had a good day today,positive,content
at night my thoughts are moving too fast and i feel stuck,anxiety,nervous
recently my relationship is stressful these days,relationship,sad
honestly i am excited about tomorrow but i do not know what to do,positive,hopeful
sometimes i want to build better habits and i want to feel better,motivation,hopeful
at home nothing feels good today and it is affecting me,sadness,depressed
sometimes how can i pass my exams today,academic_pressure,worried
recently i keep overthinking at night please help me,sleep,tired
in class i keep overthinking at night and i feel stuck,sleep,tired
i need encouragement,motivation,determined
i cannot relax at bedtime because it keeps happening,sleep,anxious
sometimes i need better sleep because it keeps happening,sleep,stressed
at home i hate how i look right now,self_esteem,sad
in class i am angry upon you lately,anger,frustrated
in class i am happy today and it is affecting me,positive,hopeful
sometimes i feel left out and i need help,loneliness,sad
sometimes i feel pressure from every side,stress,stressed
sometimes i am angry but i do not know what to do,anger,angry
sometimes they do not understand me and i want to feel better,relationship,confused
i feel better now but i do not know what to do,positive,happy
at night i feel depressed today right now,sadness,depressed
at night my mind stays awake,sleep,anxious
sometimes i keep overthinking at night today,sleep,stressed
in class my mind stays awake right now,sleep,anxious
sometimes nothing feels good today these days,sadness,sad
recently i want to build better habits because it keeps happening,motivation,determined
at home i am scared about the future and i want to feel better,anxiety,worried
at home i feel alone even around people and i feel stuck,loneliness,down
at night everyone seems busy without me,loneliness,down
at night i am scared about the future,anxiety,anxious
at home hello and i want to feel better,greeting,neutral
honestly i want to hit something these days,anger,angry
recently i feel lucky to have support right now,gratitude,content
honestly i feel lazy but want to change lately,motivation,hopeful
at home i am grateful for small things today,gratitude,grateful
honestly i feel frustrated with everyone and i feel stuck,anger,frustrated
recently i cannot stop crying and it is affecting me,sadness,sad
at night i cannot sleep,sleep,tired
hi lately,greeting,content
in class i sleep too late but i do not know what to do,sleep,anxious
sometimes i cannot stop overthinking because it keeps happening,anxiety,worried
honestly i am angry upon you because it keeps happening,anger,frustrated
honestly i am stressed because of exams right now,academic_pressure,anxious
sometimes i want to hit something and it is affecting me,anger,frustrated
sometimes my heart is racing because it keeps happening,anxiety,anxious
in class i feel grateful today please help me,gratitude,happy
sometimes i had a fight with someone close lately,relationship,upset
my heart feels heavy and i feel stuck,sadness,sad
nothing feels good today and i want to feel better,sadness,hopeless
in class i have trouble falling asleep because it keeps happening,sleep,stressed
recently i need encouragement and it is affecting me,motivation,determined
recently i cannot sleep and i feel stuck,sleep,anxious
honestly i feel hopeful because it keeps happening,positive,happy
honestly i doubt myself,self_esteem,hopeless
in class i feel better now right now,positive,happy
sometimes i cannot stop crying and i want to feel better,sadness,sad
sometimes i am proud of myself because it keeps happening,positive,content
recently how can i start again and i feel stuck,motivation,determined
at night i am afraid of failing but i do not know what to do,academic_pressure,stressed
at night i want to build better habits today,motivation,hopeful
at night i want to cry and i need help,sadness,sad
at night i procrastinated and exams are near,academic_pressure,stressed
recently i feel sad today because it keeps happening,sadness,upset
recently hey can you listen to me and i want to feel better,greeting,happy
at home i feel hopeful but i do not know what to do,positive,determined
i need company these days,loneliness,down
honestly i am proud of myself and it is affecting me,positive,content
at night hi and i feel stuck,greeting,content
sometimes i feel lonely lately,loneliness,down
honestly i feel calm today because it keeps happening,positive,content
sometimes i am tired of dealing with problems please help me,stress,overwhelmed
at home i am angry upon you because it keeps happening,anger,frustrated
recently i am angry and it is affecting me,anger,angry
honestly good evening lately,greeting,neutral
at night i had a good day please help me,positive,content
in class i am angry because it keeps happening,anger,angry
sometimes i feel anxious and i need help,anxiety,worried
i feel exhausted every morning right now,sleep,tired
at night i feel stressed but i do not know what to do,stress,stressed
at night i am scared about the future,anxiety,worried
recently i am excited about tomorrow and i feel stuck,positive,content
sometimes i am angry upon you and i feel stuck,anger,upset
sometimes i need motivation and it is affecting me,motivation,hopeful
recently i cannot focus on studying right now,academic_pressure,stressed
at home my heart feels heavy,sadness,down
recently they do not understand me these days,relationship,sad
sometimes i am stressed because of exams and i want to feel better,academic_pressure,stressed
honestly i feel useless today,self_esteem,confused
at home i cannot sleep but i do not know what to do,sleep,tired
hello i want to chat and i feel stuck,greeting,content
in class thanks for being here but i do not know what to do,gratitude,happy
at night they do not understand me these days,relationship,upset
